site_name;site_url;fit_score;core__functional_de_para_fit;aux__patient_caregiver_education;aux__patient_caregiver_education__flag;aux__healthcare_professional_education;aux__healthcare_professional_education__flag;aux__clinical_history_record;aux__clinical_history_record__flag;aux__care_coordination_navigation;aux__care_coordination_navigation__flag;aux__daily_self_management;aux__daily_self_management__flag;aux__monitoring_follow_up;aux__monitoring_follow_up__flag;aux__prescription_care_plan_management;aux__prescription_care_plan_management__flag;aux__emergency_transition_support;aux__emergency_transition_support__flag;aux__operational_solution_evidence;aux__operational_solution_evidence__flag;aux__direct_gsd_relevance;aux__direct_gsd_relevance__flag;aux__adjacent_rare_metabolic_context;aux__adjacent_rare_metabolic_context__flag;aux__explicit_cross_condition_configurability;aux__explicit_cross_condition_configurability__flag;main_strength;main_gap
ossovr;https://www.ossovr.com;46.65;46.65;27.1;FALSE;96.0;TRUE;5.85;FALSE;9.2;FALSE;8.85;FALSE;14.6;FALSE;7.0;FALSE;8.85;FALSE;72.4;TRUE;2.0;FALSE;8.2;FALSE;43.3;FALSE;functional_de_para_fit;functional_de_para_fit
epistudia;https://www.epistudia.com/home;39.55;39.55;60.35;FALSE;94.85;TRUE;6.0;FALSE;7.0;FALSE;8.0;FALSE;16.85;FALSE;7.45;FALSE;9.2;FALSE;49.6;FALSE;3.0;FALSE;30.85;FALSE;24.35;FALSE;functional_de_para_fit;functional_de_para_fit
scholarrx;https://scholarrx.com;38.0;38.0;45.15;FALSE;92.6;TRUE;11.15;FALSE;17.45;FALSE;7.85;FALSE;24.15;FALSE;10.5;FALSE;13.65;FALSE;66.3;FALSE;12.25;FALSE;17.65;FALSE;51.9;FALSE;functional_de_para_fit;functional_de_para_fit
heidihealth;https://www.heidihealth.com;35.8;35.8;13.0;FALSE;75.0;TRUE;20.7;FALSE;43.0;FALSE;38.85;FALSE;21.0;FALSE;19.8;FALSE;16.85;FALSE;58.65;FALSE;2.0;FALSE;4.0;FALSE;54.85;FALSE;functional_de_para_fit;functional_de_para_fit
thesiscare;https://thesiscare.com;35.4;35.4;26.2;FALSE;13.05;FALSE;16.4;FALSE;51.4;FALSE;26.3;FALSE;32.8;FALSE;25.05;FALSE;16.4;FALSE;39.55;FALSE;2.6;FALSE;3.85;FALSE;18.9;FALSE;functional_de_para_fit;functional_de_para_fit
giblib;https://www.giblib.com;32.53;32.53;24.12;FALSE;82.35;TRUE;5.12;FALSE;5.71;FALSE;6.41;FALSE;8.65;FALSE;5.41;FALSE;7.0;FALSE;39.88;FALSE;2.71;FALSE;5.82;FALSE;6.41;FALSE;functional_de_para_fit;functional_de_para_fit
benchsci;https://www.benchsci.com;30.75;30.75;11.8;FALSE;24.6;FALSE;10.9;FALSE;18.45;FALSE;7.6;FALSE;6.85;FALSE;6.0;FALSE;7.0;FALSE;73.35;TRUE;4.6;FALSE;12.8;FALSE;65.9;FALSE;functional_de_para_fit;functional_de_para_fit
virohan;https://www.virohan.com;24.85;24.85;45.75;FALSE;91.05;TRUE;14.45;FALSE;27.25;FALSE;17.75;FALSE;13.85;FALSE;10.6;FALSE;10.65;FALSE;31.45;FALSE;3.0;FALSE;7.45;FALSE;7.6;FALSE;functional_de_para_fit;functional_de_para_fit
vimedra;https://vimedra.ai;20.0;20.0;17.0;FALSE;6.0;FALSE;9.0;FALSE;53.0;FALSE;16.0;FALSE;12.0;FALSE;16.0;FALSE;17.0;FALSE;20.0;FALSE;3.0;FALSE;4.0;FALSE;5.0;FALSE;functional_de_para_fit;functional_de_para_fit
sword;https://sword.com;13.0;13.0;34.0;FALSE;20.0;FALSE;10.0;FALSE;15.0;FALSE;24.0;FALSE;29.0;FALSE;40.0;FALSE;9.0;FALSE;21.0;FALSE;3.0;FALSE;3.0;FALSE;17.0;FALSE;functional_de_para_fit;functional_de_para_fit
caremarketplace;https://caremarketplace.co.uk;11.0;11.0;18.0;FALSE;8.0;FALSE;10.0;FALSE;24.0;FALSE;28.0;FALSE;11.0;FALSE;54.0;FALSE;13.0;FALSE;16.0;FALSE;2.0;FALSE;4.0;FALSE;5.0;FALSE;functional_de_para_fit;functional_de_para_fit
verto;https://verto.health/us;10.0;10.0;8.0;FALSE;7.0;FALSE;20.0;FALSE;13.0;FALSE;12.0;FALSE;18.0;FALSE;15.0;FALSE;12.0;FALSE;20.0;FALSE;2.0;FALSE;4.0;FALSE;6.0;FALSE;functional_de_para_fit;functional_de_para_fit
gocarehero;https://www.gocarehero.com;9.0;9.0;3.0;FALSE;3.0;FALSE;2.0;FALSE;9.0;FALSE;4.0;FALSE;4.0;FALSE;3.0;FALSE;4.0;FALSE;44.0;FALSE;2.0;FALSE;3.0;FALSE;3.0;FALSE;functional_de_para_fit;functional_de_para_fit
prescripto;https://www.prescripto.com.br;9.0;9.0;6.0;FALSE;12.0;FALSE;4.0;FALSE;8.0;FALSE;5.0;FALSE;5.0;FALSE;6.0;FALSE;7.0;FALSE;34.0;FALSE;2.0;FALSE;3.0;FALSE;4.0;FALSE;functional_de_para_fit;functional_de_para_fit
